ID Commune;nb_faits;Année
01241;0.0;2016
01242;0.0;2021
01242;0.0;2016
01243;0.0;2021
01243;0.0;2016
01244;297.0;2021
01244;312.0;2016
01245;0.0;2021
01245;0.0;2016
01246;10.0;2021
01246;5.0;2016
01247;0.0;2021
01247;0.0;2016
01248;80.0;2021
01248;75.0;2016
01249;449.0;2021
01249;388.0;2016
01250;10.0;2021
01250;21.0;2016
01252;0.0;2021
01252;0.0;2016
01254;16.0;2021
01254;18.0;2016
01255;0.0;2021
01255;0.0;2016
01257;0.0;2021
01257;0.0;2016
01258;0.0;2021
01258;0.0;2016
01259;0.0;2021
01259;0.0;2016
01260;0.0;2021
01260;0.0;2016
01261;0.0;2021
01261;0.0;2016
01262;287.0;2021
01262;275.0;2016
01263;52.0;2021
01263;44.0;2016
01264;0.0;2021
01264;0.0;2016
01265;46.0;2021
01265;64.0;2016
01266;55.0;2021
01266;94.0;2016
01267;0.0;2021
01267;9.0;2016
01268;0.0;2021
01268;0.0;2016
01269;118.0;2021
01269;144.0;2016
01272;0.0;2021
01272;8.0;2016
01273;21.0;2021
01273;17.0;2016
01274;0.0;2021
01274;5.0;2016
01275;91.0;2021
01275;81.0;2016
01276;8.0;2021
01276;25.0;2016
01277;0.0;2021
01277;0.0;2016
01279;0.0;2021
01279;0.0;2016
01280;0.0;2021
01280;0.0;2016
01281;110.0;2021
01281;83.0;2016
01282;0.0;2021
01282;0.0;2016
01283;967.0;2021
01283;941.0;2016
01284;0.0;2021
01284;0.0;2016
01285;8.0;2021
01285;18.0;2016
01286;0.0;2021
01286;0.0;2016
01288;55.0;2021
01288;33.0;2016
01289;169.0;2021
01289;133.0;2016
01290;32.0;2021
01290;30.0;2016
01291;0.0;2021
01291;0.0;2016
01293;0.0;2021
01293;0.0;2016
01294;0.0;2021
01294;0.0;2016
01295;0.0;2021
01295;0.0;2016
01296;0.0;2021
01296;0.0;2016
01297;0.0;2021
01297;0.0;2016
01298;0.0;2021
01298;0.0;2016
01299;0.0;2021
01299;0.0;2016
01301;14.0;2021
01301;12.0;2016
01302;0.0;2021
01302;0.0;2016
01303;57.0;2021
01303;39.0;2016
01304;125.0;2021
01304;120.0;2016
01305;83.0;2021
01305;80.0;2016
01306;34.0;2021
01306;24.0;2016
01307;0.0;2021
01307;6.0;2016
01308;0.0;2021
01308;0.0;2016
01309;0.0;2021
01309;0.0;2016
01310;0.0;2021
01310;0.0;2016
01311;0.0;2021
01311;0.0;2016
01313;219.0;2021
01313;224.0;2016
01314;24.0;2021
01314;16.0;2016
01317;0.0;2021
01317;0.0;2016
01318;0.0;2021
01318;0.0;2016
01319;0.0;2021
01319;0.0;2016
01320;55.0;2021
01320;37.0;2016
01321;0.0;2021
01321;0.0;2016
01322;132.0;2021
01322;89.0;2016
01323;0.0;2021
01323;0.0;2016
01325;0.0;2021
01325;0.0;2016
01328;0.0;2021
01328;0.0;2016
01329;0.0;2021
01329;0.0;2016
01330;0.0;2021
01330;0.0;2016
01331;0.0;2021
01331;0.0;2016
01332;0.0;2021
01332;0.0;2016
01333;77.0;2021
01333;132.0;2016
01334;0.0;2021
01334;0.0;2016
01335;0.0;2021
01335;0.0;2016
01336;0.0;2021
01336;0.0;2016
01337;0.0;2021
01337;0.0;2016
01338;11.0;2021
