ID Commune;nb_menages;revenu_median;nb_personnes_Menage_fiscaux;Année
01184;364.0;24580.0;902.2268041237114;2021
01184;349.0;20963.0;806.0;2016
01185;1978.0;23080.0;4902.759941089838;2021
01185;2008.0;21041.0;4108.0;2016
01187;322.0;23000.0;798.1237113402062;2021
01187;311.0;20419.0;680.0;2016
01188;249.0;24070.0;617.1826215022091;2021
01188;237.0;22645.0;671.0;2016
01189;434.0;28040.0;1075.7319587628867;2021
01189;431.0;26495.0;1052.0;2016
01190;375.0;24560.0;929.4918998527246;2021
01190;347.5;22023.0;893.0;2016
01191;69.0;24140.0;171.02650957290132;2021
01191;72.0;21624.0;164.0;2016
01192;934.0;23500.0;2315.054491899853;2021
01192;896.0;21532.0;2243.0;2016
01193;97.0;23870.0;240.42857142857144;2021
01193;95.0;21748.0;199.0;2016
01194;2598.0;24030.0;6439.519882179677;2021
01194;2554.0;21517.0;6173.0;2016
01195;716.0;25630.0;1774.7098674521355;2021
01195;657.0;23180.0;1670.0;2016
01196;490.0;23020.0;1214.5360824742268;2021
01196;434.0;21125.0;1147.0;2016
01197;177.0;25780.0;438.720176730486;2021
01197;154.0;25521.0;353.0;2016
01198;98.0;25480.0;242.90721649484536;2021
01198;97.0;21657.0;245.0;2016
01199;979.0;23050.0;2426.59351988218;2021
01199;885.0;20566.0;2030.0;2016
01200;85.0;23480.0;210.68483063328424;2021
01200;74.0;20601.0;190.0;2016
01202;3302.0;23820.0;8184.486008836525;2021
01202;3095.0;21627.0;7123.0;2016
01203;542.0;24820.0;1343.4256259204712;2021
01203;480.0;21999.0;1237.0;2016
01204;286.0;25910.0;708.8924889543447;2021
01204;265.0;23249.0;648.0;2016
01206;115.0;24700.0;285.0441826215022;2021
01206;118.0;23923.0;293.0;2016
01207;131.0;27830.0;324.7025036818852;2021
01207;112.0;24648.0;321.0;2016
01208;68.0;22170.0;168.5478645066274;2021
01208;65.0;20849.0;133.0;2016
01209;284.0;31670.0;703.9351988217968;2021
01209;251.0;28475.0;669.0;2016
01210;109.0;24020.0;270.1723122238586;2021
01210;88.0;22281.0;177.0;2016
01211;635.0;24780.0;1573.939617083947;2021
01211;600.0;22233.0;1423.0;2016
01212;288.0;22570.0;713.8497790868926;2021
01212;285.0;19567.0;693.0;2016
01213;542.0;24160.0;1343.4256259204712;2021
01213;495.0;22005.0;1360.0;2016
01214;71.0;26540.0;175.9837997054492;2021
01214;70.0;22479.0;144.0;2016
01215;54.0;23850.0;133.84683357879234;2021
01215;60.0;23639.0;132.0;2016
01216;360.0;24130.0;892.3122238586157;2021
01216;353.0;20982.0;824.0;2016
01219;78.0;22500.0;193.33431516936676;2021
01219;73.0;15455.0;166.0;2016
01224;1328.0;23420.0;3291.640648011782;2021
01224;1209.0;21234.0;3194.0;2016
01225;151.0;28430.0;374.27540500736376;2021
01225;156.0;24847.0;409.0;2016
01227;273.0;25450.0;676.6701030927835;2021
01227;254.0;21920.0;620.0;2016
01228;267.0;26830.0;661.79823269514;2021
01228;256.0;22989.0;628.0;2016
01229;517.0;24580.0;1281.459499263623;2021
01229;494.0;21420.0;1182.0;2016
01230;143.0;21030.0;354.44624447717234;2021
01230;134.0;19247.0;314.0;2016
01231;834.0;25260.0;2067.18998527246;2021
01231;814.0;22720.0;2059.0;2016
01232;973.0;24540.0;2411.721649484536;2021
01232;921.0;21587.0;2171.0;2016
01233;54.0;24140.0;133.84683357879234;2021
01233;58.0;22062.0;126.0;2016
01234;68.0;23750.0;168.5478645066274;2021
01234;69.0;23407.0;154.0;2016
01235;468.0;22870.0;1160.0058910162004;2021
01235;417.0;20960.0;1050.0;2016
01236;409.0;24430.0;1013.7658321060384;2021
01236;399.0;21475.0;978.0;2016
01237;648.0;24590.0;1606.1620029455082;2021
01237;616.0;20498.0;1699.0;2016
01238;1060.0;28590.0;2627.3637702503684;2021
01238;964.0;25813.0;2642.0;2016
01239;257.0;23900.0;637.0117820324006;2021
01239;256.0;22740.0;627.0;2016
01240;279.0;24660.0;691.5419734904272;2021
01240;276.0;22167.0;667.0;2016
01241;584.0;26000.0;1447.5287187039764;2021
01241;545.0;23621.0;1279.0;2016
01242;59.0;20070.0;146.24005891016202;2021
01242;49.0;18666.0;108.0;2016
01243;505.0;27580.0;1251.715758468336;2021
01243;477.0;24393.0;1267.0;2016
01244;3395.0;24890.0;8415.0;2021
01244;3182.0;22335.0;7610.0;2016
01245;392.0;25140.0;971.6288659793814;2021
01245;387.0;22882.0;932.0;2016
01246;936.0;23740.0;2320.011782032401;2021
01246;871.0;21530.0;2139.0;2016
01247;138.0;31560.0;342.05301914580264;2021
01247;135.0;27065.0;321.0;2016
01248;913.0;29130.0;2263.0029455081003;2021
01248;806.0;26487.0;2269.0;2016
01249;4028.0;26720.0;9983.9823269514;2021
01249;3782.0;24033.0;9177.0;2016
01250;716.0;27460.0;1774.7098674521355;2021
01250;658.0;24855.0;1856.0;2016
01252;327.0;26260.0;810.5169366715759;2021
01252;302.0;23380.0;797.0;2016
01254;859.0;27200.0;2129.156111929308;2021
01254;778.0;25419.0;2058.0;2016
01255;264.0;22080.0;654.3622974963181;2021
01255;249.0;20675.0;583.0;2016
01257;145.0;30110.0;359.40353460972017;2021
01257;133.0;25521.0;335.0;2016
01258;473.0;27440.0;1172.39911634757;2021
01258;445.0;24067.0;1235.0;2016
01259;263.0;24810.0;651.8836524300442;2021
01259;247.0;22743.0;692.0;2016
01260;120.0;28850.0;297.43740795287187;2021
01260;106.0;24781.0;284.0;2016
01261;260.0;28010.0;644.4477172312224;2021
01261;240.0;24480.0;672.0;2016
01262;2980.0;23590.0;7386.362297496318;2021
01262;2836.0;21097.0;6939.0;2016
01263;1651.0;25970.0;4092.2430044182624;2021
01263;1546.0;23398.0;3852.0;2016
01264;409.0;25180.0;1013.7658321060384;2021
01264;402.0;21969.0;1045.0;2016
01265;1522.0;21010.0;3772.497790868925;2021
01265;1459.0;18804.0;3463.0;2016
01266;1256.0;22720.0;3113.178203240059;2021
01266;1077.0;20813.0;2298.0;2016
01267;398.0;25120.0;986.5007363770252;2021
01267;400.0;21759.0;1027.0;2016
01268;99.0;24830.0;245.3858615611193;2021
01268;102.0;21734.0;250.0;2016
01269;1398.0;18370.0;3465.145802650957;2021
01269;1394.0;17052.0;3146.0;2016
01272;686.0;23200.0;1700.3505154639176;2021
01272;640.0;20925.0;1476.0;2016
01273;747.0;23060.0;1851.5478645066275;2021
01273;678.0;20660.0;1683.0;2016
01274;244.0;20810.0;604.7893961708395;2021
01274;234.0;19131.0;622.0;2016
01275;988.0;30240.0;2448.901325478645;2021
01275;998.0;27145.0;2577.0;2016
01276;568.0;28000.0;1407.8703976435936;2021
01276;552.0;24332.0;1608.0;2016
01277;63.0;23550.0;156.15463917525773;2021
01277;58.0;21540.0;118.0;2016
01279;375.0;24560.0;929.4918998527246;2021
01279;347.5;22023.0;893.0;2016
01280;74.0;23420.0;183.419734904271;2021
01280;75.0;20614.0;152.0;2016
01281;1636.0;37070.0;4055.0633284241535;2021
01281;1358.0;34872.0;3366.0;2016
01282;103.0;25470.0;255.30044182621504;2021
01282;103.0;22885.0;256.0;2016
01283;9011.0;18340.0;22335.070692194404;2021
01283;9248.0;16948.0;22444.0;2016
01284;288.0;23270.0;713.8497790868926;2021
01284;259.0;20230.0;678.0;2016
01285;496.0;29480.0;1229.4079528718703;2021
01285;444.0;27464.0;1224.0;2016
01286;404.0;26600.0;1001.3726067746686;2021
01286;397.0;23963.0;991.0;2016
01288;955.0;39700.0;2367.1060382916053;2021
01288;874.0;37139.0;2243.0;2016
01289;2786.0;24100.0;6905.505154639175;2021
01289;2668.0;22409.0;6019.0;2016
01290;587.0;26770.0;1454.9646539027983;2021
01290;514.0;25310.0;1211.0;2016
01291;342.0;24000.0;847.6966126656848;2021
01291;328.0;21116.0;834.0;2016
01293;62.0;24740.0;153.67599410898382;2021
01293;64.0;22649.0;152.0;2016
01294;347.0;23600.0;860.0898379970545;2021
01294;348.0;21395.0;835.0;2016
01295;227.0;24570.0;562.6524300441827;2021
01295;218.0;22573.0;645.0;2016
01296;158.0;22920.0;391.6259204712813;2021
01296;157.0;20860.0;380.0;2016
01297;341.0;27060.0;845.2179675994109;2021
01297;307.0;24942.0;869.0;2016
01298;62.0;29270.0;153.67599410898382;2021
01298;55.0;27508.0;129.0;2016
01299;200.0;25540.0;495.7290132547865;2021
01299;185.0;22683.0;502.0;2016
01301;1140.0;25060.0;2825.6553755522827;2021
01301;1057.0;23018.0;2561.0;2016
01302;74.0;24270.0;183.419734904271;2021
01302;70.0;25865.0;168.0;2016
01303;807.0;22280.0;2000.2665684830636;2021
01303;725.0;20445.0;1634.0;2016
01304;1191.0;22810.0;2952.0662739322534;2021
01304;1108.0;20963.0;2705.0;2016
01305;1095.0;21070.0;2714.116347569956;2021
01305;1048.0;18818.0;2009.0;2016
01306;725.0;21330.0;1797.017673048601;2021
01306;686.0;19038.0;1438.0;2016
01307;362.0;22270.0;897.2695139911635;2021
01307;362.0;21057.0;836.0;2016
01308;295.0;41270.0;731.20029455081;2021
01308;277.0;34247.0;650.0;2016
01309;375.0;24560.0;929.4918998527246;2021
01309;347.5;22023.0;893.0;2016
01310;48.0;24070.0;118.97496318114877;2021
01310;52.0;21423.0;129.0;2016
01311;375.0;24560.0;929.4918998527246;2021
01311;347.5;22023.0;893.0;2016
01313;3084.0;44430.0;7644.141384388808;2021
01313;2616.0;40080.0;6661.0;2016
01314;739.0;25110.0;1831.718703976436;2021
01314;694.0;22389.0;1746.0;2016
01317;131.0;24270.0;324.7025036818852;2021
01317;130.0;22257.0;327.0;2016
01318;260.0;29400.0;644.4477172312224;2021
01318;235.0;24915.0;724.0;2016
01319;186.0;25090.0;461.0279823269514;2021
01319;180.0;23019.0;482.0;2016
01320;1629.0;24890.0;4037.712812960236;2021
01320;1500.0;22445.0;3710.0;2016
01321;333.0;27570.0;825.3888070692194;2021
01321;344.0;24298.0;926.0;2016
01322;1858.0;29130.0;4605.322533136966;2021
01322;1718.0;26086.0;4741.0;2016
01323;417.0;23300.0;1033.5949926362298;2021
01323;398.0;20813.0;963.0;2016
01325;430.0;26270.0;1065.817378497791;2021
