ID_Commune,Annee,Population_Totale,Pct_Jeunes,Pct_Seniors,Pct_Sans_Activite,Pct_Etrangere,Taille_Commune
01030,2021,830,24.94,16.02,23.37,4.58,2
01030,2017,866,26.33,15.24,22.98,4.62,2
01031,2021,3636,26.1,20.43,41.17,26.02,3
01031,2017,3624,26.08,16.89,35.04,23.81,3
01032,2021,3434,31.77,13.34,27.87,6.38,3
01032,2017,3333,31.74,13.47,27.96,6.39,3
01033,2021,16296,25.55,16.51,31.66,19.93,4
01033,2017,16423,25.7,16.3,30.36,21.34,4
01034,2021,9239,22.85,26.2,41.18,12.69,3
01034,2017,9104,24.49,22.65,37.95,11.92,3
01035,2021,306,20.92,18.95,35.95,2.61,1
01035,2017,314,19.75,15.61,31.21,2.87,1
01036,2021,1342,20.72,27.72,37.18,4.55,2
01036,2017,1311,21.66,25.71,36.61,4.04,2
01037,2021,310,23.23,20.65,28.39,4.84,1
01037,2017,298,23.49,22.15,40.94,5.03,1
01038,2021,764,24.74,21.73,43.98,1.96,2
01038,2017,756,25.26,18.52,27.78,1.46,2
01039,2017,454,24.01,18.5,36.12,11.45,1
01040,2021,480,27.71,15.42,27.5,2.5,1
01040,2017,496,30.24,12.5,14.11,3.02,1
01041,2021,749,22.96,17.49,29.77,4.01,2
01041,2017,748,23.4,17.25,29.55,4.01,2
01042,2021,290,25.52,17.24,30.69,0.69,1
01042,2017,279,26.52,16.13,21.51,36.2,1
01043,2021,4877,25.47,18.49,31.58,6.79,3
01043,2017,4613,25.86,18.12,31.24,6.79,3
01044,2021,626,26.52,16.13,33.07,10.06,2
01044,2017,622,27.49,15.27,32.48,10.13,2
01045,2021,284,31.34,13.73,17.96,3.52,1
01045,2017,283,31.8,13.43,17.67,3.53,1
01046,2021,904,29.54,14.49,19.58,2.65,2
01046,2017,876,28.77,13.7,21.12,3.65,2
01047,2021,1292,30.57,9.29,17.41,4.49,2
01047,2017,1007,30.39,11.22,17.87,2.88,2
01049,2021,3361,27.97,15.77,30.02,5.89,3
01049,2017,3229,27.93,16.17,30.5,6.04,3
01050,2021,386,33.42,12.95,23.32,2.07,1
01050,2017,336,29.17,14.29,16.67,2.08,1
01051,2021,95,20.0,26.32,38.95,5.26,1
01051,2017,89,13.48,30.34,33.71,100.0,1
01052,2021,327,22.02,25.38,29.36,3.98,1
01052,2017,328,21.65,23.78,30.49,2.44,1
01053,2021,41526,23.24,23.17,41.16,16.78,4
01053,2017,41530,24.05,22.06,41.35,15.32,4
01054,2021,1517,29.27,12.2,24.32,3.03,2
01054,2017,1366,29.65,11.93,24.16,3.07,2
01056,2021,356,26.4,23.88,37.64,1.97,1
01056,2017,346,26.59,21.68,28.9,2.02,1
01057,2021,510,27.45,16.08,27.84,2.55,2
01057,2017,512,30.66,14.65,26.76,2.15,2
01058,2021,818,25.55,21.39,33.99,2.44,2
01058,2017,839,29.32,18.12,33.02,2.03,2
01060,2021,518,18.92,27.03,26.45,4.83,2
01060,2017,509,20.83,25.34,34.38,3.34,2
01061,2021,1129,24.0,21.08,34.63,3.37,2
01061,2017,1166,27.79,13.98,28.64,4.03,2
01062,2021,978,26.89,15.85,30.57,2.35,2
01062,2017,911,27.44,15.37,30.08,2.41,2
01063,2021,576,24.48,25.35,37.67,11.81,2
01063,2017,521,23.03,24.18,37.43,12.09,2
01064,2021,1099,27.12,11.19,26.66,2.0,2
01064,2017,1016,26.18,11.12,22.83,3.44,2
01065,2021,1851,23.88,20.48,28.42,3.13,2
01065,2017,1782,24.69,19.81,27.83,3.14,2
01066,2021,95,26.32,16.84,28.42,7.37,1
01066,2017,77,25.97,16.88,28.57,7.79,1
01067,2021,261,25.67,9.2,21.46,4.6,1
01067,2017,254,25.2,9.45,21.65,4.72,1
01068,2021,761,21.81,23.78,39.29,3.42,2
01068,2017,783,25.67,21.2,28.74,3.58,2
01069,2021,1505,24.05,15.08,27.04,2.19,2
01069,2017,1517,25.84,13.91,25.97,2.18,2
01071,2021,5307,27.79,10.74,19.99,21.74,3
01071,2017,4856,28.83,8.73,21.83,23.23,3
01072,2021,3285,25.21,20.55,34.06,3.14,3
01072,2017,3157,25.4,20.43,33.99,3.14,3
01073,2021,992,19.96,25.2,34.68,3.43,2
01073,2017,1007,21.05,24.13,33.86,3.48,2
01074,2021,2559,25.99,19.38,26.69,3.63,3
01074,2017,2451,28.15,18.93,29.38,2.28,3
01075,2021,1430,26.43,13.29,19.16,3.43,2
01075,2017,1342,28.69,10.51,25.11,2.83,2
01076,2021,124,10.48,31.45,50.81,2.42,1
01076,2017,130,12.31,33.08,57.69,6.15,1
01077,2021,189,22.75,30.16,46.03,1.06,1
01077,2017,194,22.68,19.07,25.77,1.03,1
01078,2021,1619,25.63,17.48,30.14,34.47,2
01078,2017,1481,26.67,16.0,33.96,32.28,2
01079,2021,826,23.37,31.72,44.79,4.6,2
01079,2017,820,23.41,31.83,45.0,4.51,2
01080,2021,645,24.5,21.86,33.49,3.88,2
01080,2017,651,25.81,20.74,33.79,4.3,2
01081,2021,718,22.01,20.89,38.86,9.05,2
01081,2017,729,23.32,19.89,37.31,9.05,2
01082,2021,616,34.74,14.77,31.01,7.47,2
01082,2017,625,36.32,12.48,29.6,6.24,2
01083,2021,1003,27.52,14.16,24.43,2.89,2
01083,2017,910,28.13,13.41,17.36,2.97,2
01084,2021,931,30.18,15.57,23.31,3.33,2
01084,2017,844,29.5,13.74,28.67,3.08,2
01085,2021,394,25.89,17.26,26.65,2.03,1
01085,2017,388,28.09,14.69,27.06,2.06,1
01087,2021,279,23.3,20.79,40.5,8.24,1
01087,2017,285,25.61,20.35,26.32,4.21,1
01088,2021,898,22.05,12.81,28.4,2.78,2
01088,2017,913,24.1,11.5,27.05,2.63,2
01089,2021,2287,29.78,12.64,28.73,5.07,3
01089,2017,2138,29.93,12.58,28.67,5.05,3
01090,2021,360,26.39,22.5,39.72,2.78,1
01090,2017,341,26.69,22.29,39.3,2.93,1
01092,2021,1649,27.53,17.28,28.44,2.49,2
01092,2017,1584,27.65,17.17,28.35,2.53,2
01093,2021,5059,20.85,28.86,39.04,4.96,3
01093,2017,4859,22.35,27.21,39.0,4.92,3
01094,2021,767,23.86,20.73,34.03,1.04,2
01094,2017,753,24.57,20.19,33.86,1.06,2
