ID Commune,annee,nb_faits,population
01264,2021,0.0,1008
01265,2021,46.0,3541
01266,2021,55.0,2578
01267,2021,0.0,990
01268,2021,0.0,240
01269,2021,118.0,3449
01272,2021,0.0,1515
01273,2021,21.0,1799
01274,2021,0.0,632
01275,2021,91.0,2538
01276,2021,8.0,1634
01277,2021,0.0,115
01279,2021,0.0,73
01280,2021,0.0,141
01281,2021,110.0,4690
01282,2021,0.0,255
01283,2021,967.0,22277
01284,2021,0.0,725
01285,2021,8.0,1319
01286,2021,0.0,955
01288,2021,55.0,2838
01289,2021,169.0,6448
01290,2021,32.0,1346
01291,2021,0.0,852
01293,2021,0.0,148
01294,2021,0.0,908
01295,2021,0.0,666
01296,2021,0.0,407
01297,2021,0.0,914
01298,2021,0.0,161
01299,2021,0.0,579
01301,2021,14.0,2648
