ID Commune;Année;Population Active;Chômeurs;Emplois;% Chômage
01100;2017;51.145038167939;9.20610687022902;41.93893129770998;0.18
01101;2017;82.275641025641;2.90384615384615;79.37179487179485;0.04
01102;2017;492.587117212251;37.1953537486802;455.3917634635708;0.08
01103;2017;1035.42857142857;71.6705444392741;963.7580269892959;0.07
01104;2017;240.530129164997;16.3268792248145;224.2032499401825;0.07
01105;2017;915.779114270093;50.5194095133953;865.2597047566977;0.06
01106;2017;75.3854748603352;7.73184357541899;67.6536312849162;0.1
01107;2017;69.5111111111113;5.03703703703705;64.47407407407425;0.07
01108;2017;502.0;45.0;457.0;0.09
01109;2017;1227.12893081761;119.622641509434;1107.5062893081758;0.1
01110;2017;64.6153846153846;8.07692307692307;56.53846153846153;0.12
01111;2017;58.2424242424242;1.87878787878788;56.36363636363632;0.03
01112;2017;225.301656705228;11.9413438661664;213.3603128390616;0.05
